image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.834904,bus,van,False
drive_022,2,4,0.461039,car,car,True
drive_022,3,5,0.581502,truck,bus,False
drive_022,4,3,0.623567,car,car,True
drive_022,5,1,0.740067,car,car,True
drive_033,1,2,0.800853,truck,bus,False
drive_033,2,7,0.66925,car,car,True
drive_033,3,8,0.636407,car,car,True
drive_033,4,6,0.639047,car,car,True
drive_033,6,4,0.334672,car,car,True
drive_033,7,3,0.47834,car,car,True
drive_033,8,9,0.633518,car,car,True
drive_033,10,5,0.532701,car,car,True
drive_038,1,5,0.843267,truck,bus,False
drive_038,2,2,0.951184,car,car,True
drive_038,3,3,0.81052,car,car,True
drive_038,5,9,0.709016,truck,bus,False
drive_038,6,15,0.818664,van,truck,False
drive_038,7,8,0.693993,car,car,True
drive_038,8,10,0.704659,car,car,True
drive_038,9,7,0.590109,car,car,True
drive_038,10,11,0.715942,car,car,True
drive_038,11,13,0.59256,car,car,True
drive_038,12,14,0.528914,car,car,True
drive_038,13,6,0.656487,car,car,True
drive_038,14,12,0.50612,car,car,True
drive_008,1,3,0.688066,van,truck,False
drive_008,2,6,0.647089,car,car,True
drive_008,3,4,0.653328,car,car,True
drive_008,4,12,0.684556,van,truck,False
drive_008,5,11,0.762413,car,car,True
drive_008,6,16,0.682341,car,car,True
drive_008,7,9,0.861298,bus,van,False
drive_008,8,1,0.625835,truck,bus,False
drive_008,9,2,0.698638,car,car,True
drive_008,11,5,0.603555,van,truck,False
drive_008,15,15,0.172996,car,car,True
drive_008,16,14,0.70596,car,car,True
drive_008,17,13,0.676473,car,car,True
drive_008,18,7,0.682582,car,car,True
